player_id,passer_player_name,mpy,inv_sack_rate,completion_rate,n,eyp,season,team,position
00-0028118,Ty.Taylor,13.419354838709676,0.9777777777777777,0.6888888888888889,45,9.039012345679012,2024,NYJ,QB
00-0037834,B.Purdy,13.226843100189042,0.9433051869722557,0.638118214716526,829,7.961768870017945,2024,SF,QB
00-0039163,C.Stroud,12.8728813559322,0.935374149659864,0.6020408163265307,588,7.249149659863946,2024,HOU,QB
00-0033873,P.Mahomes,11.799929552659393,0.9588394062078273,0.6385515069725589,4446,7.224723371111605,2024,KC,QB
00-0034857,Jos.Allen,11.685393258426966,0.9787234042553191,0.6312056737588653,141,7.218952768975404,2024,BUF,QB
00-0031345,J.Garoppolo,12.170658682634736,0.9343955014058107,0.6260543580131208,2134,7.1196208307678015,2024,LA,QB
00-0033319,N.Mullens,12.085388994307396,0.9433293978748524,0.6221959858323494,847,7.093347030773237,2024,MIN,QB
00-0037012,T.Lance,14.232142857142856,0.9444444444444444,0.5185185185185185,108,6.969650205761316,2024,DAL,QB
00-0036212,T.Tagovailoa,11.503584229390684,0.9480225988700565,0.6305084745762712,1770,6.8761096747422545,2024,MIA,QB
00-0029604,K.Cousins,11.298215511324635,0.9412660430715686,0.6338916684794433,4597,6.7412012042734935,2024,ATL,QB
00-0033077,D.Prescott,11.308664259927793,0.9432334241598548,0.6289736603088105,4404,6.709079702953555,2024,DAL,QB
00-0031503,J.Winston,12.487250172294964,0.9333597778659262,0.5755652518841728,2521,6.708268867573465,2024,CLE,QB
00-0026498,M.Stafford,11.6675219941349,0.9368255395683455,0.6133093525179855,4448,6.70373653303077,2024,LA,QB
00-0026143,M.Ryan,11.454148471615738,0.9353958143767059,0.6251137397634215,4396,6.6975702123114775,2024,ATL,QB
00-0036264,J.Love,11.396514161220045,0.9560585885486019,0.6111850865512646,751,6.65931088774665,2024,GB,QB
00-0033106,J.Goff,11.447025695177743,0.9487621097954788,0.6116254036598485,4645,6.642560295513175,2024,DET,QB
00-0033357,T.Hill,12.489583333333334,0.9085365853658537,0.5853658536585366,328,6.642288816180844,2024,NO,QB
00-0035100,J.Browning,11.321637426900583,0.9104477611940298,0.6380597014925374,268,6.57696591668523,2024,CIN,QB
00-0031280,D.Carr,11.056473829201103,0.9474821698724876,0.6276204884374321,4627,6.574834128002122,2024,NO,QB
00-0033537,D.Watson,11.978216473791699,0.907483552631579,0.6040296052631581,2432,6.565822611885392,2024,CLE,QB
00-0023459,A.Rodgers,11.342094284522322,0.9402410874583229,0.6147730187227489,3899,6.55612578731198,2024,NYJ,QB
00-0023459,Aa.Rodgers,10.947976878612716,0.9375,0.636029411764706,272,6.528033088235294,2024,NYJ,QB
00-0034401,M.White,11.321428571428573,0.9602446483180428,0.5993883792048932,327,6.516155579870759,2024,MIA,QB
00-0036389,J.Hurts,11.638009049773753,0.9346895074946466,0.5915417558886504,1868,6.434746823544509,2024,PHI,QB
00-0034857,J.Allen,11.365375641623887,0.9456066945606691,0.5977684797768481,3585,6.424322636741884,2024,BUF,QB
